text,term.freq
cure,0
diseses,1
blood,7
purlfled,1
nml,1
osions,1
healthy,1
sud,1
mi-tural,1
condition,6
usa,58
lias,1
fnr,1
ovrr,1
vphis,1
recogtiuvd,1
pinl-vient,1
medical,6
authorities,3
powerful,4
purifier,1
existence,4
frees,1
system,6
foul,1
humors,1
enriches,1
strengthens,1
removes,1
traces,1
mercurial,1
treatment,4
proves,1
complete,3
master,1
scrofulous,1
diseases,4
england:usa,18
scholar,2
spell,1
sailed,1
wrest,1
letters,8
recite,1
money,14
cable,8
british,33
in-q,1
consider,4
punish,1
vestors,1
monk,1
old,26
preached,1
ment,3
truancy,1
stand,8
crde,2
greater,7
vehemence,1
floor,3
foot,4
wonderfully,1
short,5
deti-utes,1
anco,1
innumerable,2
difficulties,2
backers,1
gazette,1
fired,3
shot,3
direction,5
deceased,1
shepherd-flatv,1
placed,6
wit,1
extensive,3
usa:canada,54
thond,87
killed,5
wounded,6
special,5
correspondent,2
london,8
post,3
secretary,2
lord,4
dtafferin,1
governor-general,1
witnessed,2
battles,1
tel-el-kebir,1
tob,2
tamai,1
severely,1
named,3
news,4
says,7
general,7
hoping,1
surprise,1
"enemy,left",1
abou,1
klea,1
wells,1
saturday,2
afternoon,2
marched,1
entire,4
night,10
sighting,1
river,7
daybreak,1
usa:united,16
states,44
hundreds,23
thonds,113
professional,3
begums,1
chinese,7
beggar,3
asserted,2
yetbren,1
ivtu,1
pacific,7
coast,9
united,34
speaking,2
seeps,1
snro,1
solu-panama,1
scheme,3
inflict,1
injury,2
tion,4
epaoru,1
salts,1
water,8
oul,1
nttural,1
reservoirs,2
deep,2
lect,1
damages,2
courte,1
narrow,2
gorges,1
shine,1
daughter,4
washington,4
live,12
springe,1
saw,5
confidently,1
half,10
dtzan,1
president,6
suez,2
canal,5
travel,4
beggars,1
sast,1
tin,8
onday-school,1
teacÃ¹,1
purpose,3
god,2
qlve,1
different,6
beueee,1
vun,1
mown,1
tried,3
thrust,1
xnake,1
nay,1
defined,1
edge,3
europe,13
bien,1
concocting,1
canada,70
usa:spain,1
conquerors,1
veil,1
armies,2
bet,2
tune,1
dear,1
rej,1
father,2
disorganized,1
present,11
rogue,1
harvest,2
egyptian,2
rogues,1
bloodthirsty,1
dishonest,1
religious,2
enti,1
lasts,1
grasp,1
havj,2
city,15
meritor,1
threo,1
troopi,1
wherewith,1
hold,4
uous,1
blot,1
"tost,r",1
bundl,1
excitable,1
easily,1
war,28
maddened,1
check,3
advicj,1
minister,7
ytt,1
lent,3
troop,2
keep,5
brick,1
windows,3
turbulent,1
abeyance,1
"ht,s",1
door,3
bank,7
send,7
keys,2
offered,5
shelter,2
hii,1
roof,2
accountable,1
safe,4
safety,1
contents,1
y;u,1
england,24
thlrk,1
necessary,1
materials,3
hut,6
mamma,1
shut,1
rase,2
emergency,1
harem,1
guarded,2
monstrous,1
counsel,2
done,17
groes,1
prisoners,2
canada:usa,42
little,19
hot,3
statesmen,1
surprised,2
find,5
course,10
peddle,1
canoe,2
american,13
steamer,1
throwing,1
tow-rent,1
omrirta,1
shoes,2
slippers,2
osltsrs,1
sad,6
wemsn,1
tilt,2
beet,4
overshoes,1
yea's,1
women's,1
children's,3
butters,1
women,26
misses,1
beets,2
kinds,6
mature,1
vary,1
food,6
travelling,1
abroad,3
majesty,3
throat,3
lungs,2
misions,1
sudden,2
fright,1
doee,1
frien,1
object,2
intended,2
ally,1
adopts,1
incognita,1
countess,2
persons,7
die,7
annually,7
eng,1
followed,4
sleep,3
usa:england,15
siblo,1
ministers,1
day,15
hia,2
co-operate,1
thmet,1
pamfui,1
lomplalaw,1
win,2
prevail,1
horee,1
italy,4
alas,2
red,12
rocks,2
crimson,2
pink,4
rolling,3
corniche,1
road,8
rat,1
hole,1
pleut,1
plheÃ¯,1
baying,1
camp,4
longer,3
blasted,1
mer,1
oloude,1
smaller,2
dashes,1
streaks,1
runs,4
reaches,2
ering,1
stone's,2
cellar,2
nnished,1
view,6
carcass,1
canary,2
hand,3
appearing,2
usual,3
feathery,1
clouds,1
level,2
shore,5
grew,7
wall,2
effectual,1
ere,3
busily,1
engaged,3
skinning,1
muddy,1
white,9
color,1
low-lying,1
couth,1
side,7
bar,2
front,5
aloes,1
yellow,2
horned,1
poppy,1
hashes,1
fill,1
plaster,1
mixed,1
bearing,1
crashing,1
bush,3
rooks,1
wss,1
fort,2
right,6
peninsula,2
monaco,1
plants,4
able,2
bear,4
broken,2
glass,3
holes,1
wood,6
"growls,,we",1
looked,3
rum,1
fortress,1
built,6
probab,1
palace,3
rises,1
sternly,1
gloom,1
sand,1
large,17
sea,9
ped,1
nailing,1
orchard,1
cud,1
horrified,1
rears,1
ago,14
possibly,2
tete,1
chien,1
tly,1
square,5
outline,1
torn,2
room,3
garden,3
grizzly,1
bears,2
female,1
cube,1
company,12
wilt,1
apply,3
espion,1
parliament,5
enable,1
extend,4
operation,2
head,5
quinze,4
rapid,1
vttawa,1
purcha*eor,1
construct,4
operate,3
hie*mboata,1
togs,1
acquire,2
wharves,1
piers,2
collect,1
wlogs,1
enquire,1
booms,1
ottawa,23
chandlers,1
falls,2
telegraph,2
telephone,2
lines,6
nnd,2
increase,5
capital,5
stock,8
issue,3
debentures,1
amount,6
exceed,1
dollars,26
debutante,1
lugger,1
cats,1
comrades,2
getting,2
paid,7
killing,3
fellow,1
manners,1
methods,3
perseribed,1
sort,2
amusement,1
aimy,1
regulations,2
vi-dalla,1
court,5
house,14
settlement,1
immediately,1
opposite,3
matches,1
mississippi,1
morning,8
dressed,4
duty,5
sunrise,2
wondering,3
stretch,2
break,1
journal,1
indulging,1
habit,1
prevalent,2
slandering,1
canadians,10
misrepresenting,1
bishop,4
latteche,1
hivers,1
shaking,1
favor,5
annexation,4
nited,1
remain,5
stigma,1
disgraceful,1
acction,2
plain,3
terms,1
repudiated,1
expression,1
harboring,1
tiuient,1
astoan,1
especially,4
injurious,2
assertion,1
french-canadians,1
ready,4
aid,2
destruction,1
canadian,47
confederation,3
protest,2
imputation,1
country,30
disloyal,1
mother,4
totally,1
unworthy,1
proverbial,1
loyalty,1
french,15
manly,1
silence,2
traducers,1
probably,7
recommence,1
calumnies,1
physician,1
walking,1
friend,3
fttn,1
ip*i,1
council,1
voted,1
francs,1
avoid,2
pretty,4
woman,5
expenses,1
knows,3
cady,1
represent,2
oaete,1
looks,1
indignation,1
tfie,1
tended,4
understand,1
illinoft,1
press,1
association,2
misfortune,1
dispatch,3
wbxed,1
strong,5
build,2
remark,2
slipped,1
ont,7
oon,1
chicago,5
feature,4
trary,1
doctor,6
saved,2
lecture,3
seat,2
guest,1
inn,2
exclaimed,1
clubs,2
landlord,2
worse,2
list,3
orleans,2
devoted,5
study,2
yearl,1
impossible,1
sir,7
political,7
economy,2
tbe,5
oignon,1
reply,2
southern,3
cities,7
busy,2
studying,1
sub,2
witness,3
pre,4
ject,1
fitting,1
duties,3
rise,1
statement,3
afraid,1
citizenship,1
north,13
northwest,1
telling,2
untruth,1
promptly,4
isquiry,1
sanity,1
york,10
property,3
witnesses,2
adcj,1
brooklyn,2
listened,2
bun,4
weie,1
called,6
prove,3
unfit,1
lectures,1
subject,3
mansge,1
affairs,6
curious,1
slip,2
school-master,1
nex,1
formed,4
opinion,8
state,6
Ã¢ffeotone,1
village,7
custom,4
continu,1
mind,3
allegeo,1
lunatic,1
gue,1
economical,4
states:usa,11
legislative,2
body,4
represented,2
receive,3
pay,4
services,3
congress,4
lowed,1
usa::and,1
windsor,2
lived,3
statements,1
sont,1
broadcast,1
sentiment,1
existed,4
party,5
differences,1
denied,2
wizard,1
promoting,2
opponent,1
public,8
welfare,1
common,4
test,4
constituency,1
union,3
regard,4
prin,1
favorable,3
hear,6
pie,4
connection,3
principle,2
wee,3
charged,2
col,2
controls,1
warn,4
annexationist,1
quee,1
white's,1
assurance,1
"ht,s",1
dwarf,1
utter,1
insignificance,1
views,2
relations,3
ventured,1
assert,1
position,7
changed,2
politi-citizeni,1
greatest,10
empire,9
known,24
independence,1
patter-civilisation,1
commanded,2
marked,3
share,2
sae,1
sweet,2
meek,1
wet,2
filioupnemm,1
ick,1
headache,4
rittge,1
fact,10
faune,1
holmes,1
losing,2
lost,6
quitting,1
chosen,2
refuse,3
assist,1
certain,7
ance,1
solicitor,1
preparing,1
vour,1
musgrave,3
lieen,1
doing,2
fence,2
suppose,1
browning,1
possession,1
undoubted,2
proceedings,1
remained,2
nwstery,1
proof,4
rented,1
mistaken,1
mount,1
street,5
taken,10
apartments,2
happen,1
pounds,12
gave,2
hyde,1
park,5
story,4
look,10
rooms,3
recognie,1
ould,1
protect,5
engineer,2
secure,5
railroad,3
passage,3
aurons,1
kng-hull,1
channel,3
moans,1
bridge,8
tunnel,4
double,1
device,1
alleged,1
advantages,2
secured,4
meet,7
opposition,3
number,13
leading,9
military,6
authorit,1
question,4
transit,1
acting,1
a*i,1
vice,1
declined,1
liecauae,1
believed,3
knglisli,1
end,18
holding,1
command,1
passageway,1
quickly,6
pour,10
ujh.ii,1
thou-hands,1
fngland,1
vadlng,1
capturing,1
island,8
exnosing,1
thenmlves,1
risk,1
meeting,4
english,13
vessels,1
coming,3
source,2
project,1
hridgv,1
eeii,1
advanced,4
take,15
cost,12
construction,1
times,10
painting,1
preliably,1
larger,3
maintaining,1
iimler,1
tl\e,1
conditions,6
continued,2
teriii,1
usefulness,1
lie,3
bettered,1
guns,5
armor-clad,1
vessel,1
knglish,1
structure,2
captured,1
canada:united,5
germany,16
stands,3
compared,2
britain,12
deaths,3
accidents,1
railways,3
cars,3
steamboats,1
vehicles,2
numbered,1
fifty-four,1
preparation,2
pierce,1
favorite,1
witn,1
popular,4
approval,1
distance,1
scription,1
want,5
nasal,1
lialm,1
acknowledged,1
iwinc,1
world,17
famed,1
remedy,4
cold,4
doubt,4
catarrh,2
medicine,2
womanhood,1
affords,1
striking,2
instance,2
bridged,1
peril,1
wrong,3
ous,1
casings,1
servant,1
drank,1
singula,1
incident,1
arising,1
deeply,2
slept,1
perambu,1
oent,1
evere,1
weather,3
reported,3
lated,1
untimely,1
hours,2
rom,1
rsetshire,1
birds,3
tine,1
rambling,1
locally,1
fieldfares,1
quests,1
neyh,1
perils,1
waters,2
kurils,1
angry,1
tears,1
t-mlbss,1
life,11
comparatively,1
arrivals,2
attracted,1
bettor,1
expectations,1
highly,1
work,29
con,6
"r,,l,s",1
nection,1
fair,5
lud,1
maining,1
resi,1
wool,4
dents,1
thousands,47
nien,1
beans,1
families,6
declared,1
"qrt,el",1
pork,1
starving,2
bad,2
stay,1
hides,1
lbs,3
poorest,1
"b,t",1
accounts,1
newspa,1
chickens,1
nvr.n,1
plo,1
bro-iii,1
lew,1
cent,11
upwards,4
probable,2
legitimate,3
conservative,3
wild,1
cat,1
gambling,1
kantksi,1
ileal,1
estate,1
ivoans,1
fields,8
columbia,4
washing,2
ton,4
missouri,3
write,9
stating,2
class,5
inyost-ments,1
preferred,2
representing,2
west,13
kootenay,1
silver,1
columbia*american,1
western,11
consolidated,1
development,1
mining,4
companies,2
b.o,1
mar,1
bio,1
cave,3
address,4
"lynch,offices",1
spokane,1
wash,1
toronto,6
montreal,8
towns,4
pen,1
pilgrims,1
surrounded,2
tomb,2
patriarchs,1
bared,1
heads,1
crowd,1
vil,1
rear,1
noticed,3
relimits,1
error,1
widely,1
lagers,1
slow,3
process,2
photographing,1
spread,3
represents,2
japan,6
having,7
entered,4
arrival,2
thronged,1
vogue,2
ricans,1
movement,4
kuropean,1
civilization,2
pham,1
huston,1
llieulogic.il,1
accustomed,1
instantaneous,1
need,9
read,3
school,6
mounted,4
spoke,2
nervous,2
lone,3
exposure,1
perceive,1
animus,1
inspired,1
sentences,1
impressive,1
manner,3
plate,3
required,4
article,4
seen,7
tne,1
sink,1
photographer,1
took,5
trials,1
wore,2
joct,1
discredit,1
group,4
journeyed,1
satisfactory,2
result,9
obtained,3
protestant,2
missionaries,2
feel,2
inspiration,1
operating,5
int,2
hat,3
arose,1
spot,3
photographed,1
day's,16
england::it,1
baker,3
englishman,2
qualified,1
speak,3
egypt,5
gain,2
immensely,1
settled,4
occupation,1
permanent,3
asserts,1
compelled,1
name,7
evacuate,1
earlier,4
years,51
soudan,1
reconquered,1
developed,6
wonderful,1
resources,4
interior,2
obtain,1
cotton,2
wheat,3
regions,2
nile,2
tributaries,1
abyssinia,1
controlled,1
series,3
weirs,1
gateexhat,1
raise,3
thelevel,1
bury,1
cataracts,1
means,5
irrigation,3
waterless,1
unproductive,3
deserts,1
vast,4
surplus,2
annual,4
hoods,1
whieh,1
recklessly,1
waste,3
silting,1
shores,5
mediterranean,3
storage,1
powers,1
lower,3
prophecy,1
implies,1
wonoemd,1
progress,2
eiders,1
developments,1
past,13
dark,6
continent,5
fulfilment,1
improbable,1
taring,1
remarks,2
regarding,1
ber,2
peuple,1
county,10
relative,1
division,3
aud,5
anew,1
election,2
held.-carried,1
situation,5
deemed,1
servative,2
rank,3
sÂ«e,1
apologize,1
chairman,2
came,10
worker,1
candidate,1
given,5
support,2
mercier,4
unanimous,1
today,6
cer-bomething,1
speaker,2
felt,3
assured,1
deal,3
talnly,1
afu,1
email,1
held,7
shawville,2
co-operation,2
sacrifice,3
principles,1
lhat,1
wbat,1
liberal,2
friends,3
lick,1
grit,1
adversariea,1
explained,2
ridding,1
bring,5
electors,2
period,7
theboodlere,1
months,11
receiving,2
particular,2
merit,2
power,11
"candidate,in",1
telegrame,1
parta,1
possessed,1
crisis,2
oui,1
history,8
underfront,1
parties,2
reached,4
millions,11
standard-bearer,1
peo,3
roads,8
debt,1
peddle,1
propie,1
meant,1
realized,3
honest,4
gov,1
"around,france",1
important,5
ernment,1
return,5
band,1
ceived,1
lhsn,1
lhree,1
scoundrels,1
thieves,1
charge,7
forget,4
rule,2
onght,1
unite,1
province,11
whit,1
"done,but",1
enduring,1
mon,3
"d,reet",1
taxation,1
tand,1
pontiac,4
ument,1
rendered,1
exist,3
closed,1
mines,6
tax,2
elect,1
representative,2
vote,1
mercierism,1
bryson,1
cal,3
meea*e,1
vor,1
hones,1
government,18
willing,2
allow,1
umet,1
worlh,1
proposed,3
deny,1
fit#county,1
conserva,1
humbugged,1
sectional,1
appeals,2
poupore,1
"folly.,k",1
folly,1
mftn,1
defded,1
"h,m",1
thy,1
owing,4
believe,2
elector,1
give,11
ele,1
tore,1
considered,2
bort,1
robblngjuid,1
japan:japan,1
ancient,3
copper,1
mine,2
worked,1
reopened,1
musashi,1
ese,2
manuscripts,1
authenticity,1
mention,1
galleries,1
levels,1
esses,1
ktss:r,1
hand-clasp,1
england:france,1
fyle,1
testimonials,1
customers,3
scotland,6
oermay,1
countries,8
soap,2
use,16
ears,2
teraof,1
staa,1
ris,1
at-the,1
cheese,2
trade,13
aummin,1
tid,1
euch,1
preten.ions,1
usa::give,1
enjoyments,1
sake,1
invalid,1
voluntarily,1
sacrifiÃ©,1
matter,3
lauraine,1
etwynde,1
experienced,2
courier,1
set,7
travail,1
ing,5
easy,3
stages,5
arrived,4
warm,1
evening,3
quaint,2
erie-bach,1
belt,1
scholars,1
cco,1
users,2
non-smokers,1
highest,4
grade,1
exceptionally,3
brilliant,2
atudunti,1
compare,1
average,5
thou,2
refrain,1
tobacco,2
shows,2
surgical,1
reporter,1
fass,1
rasas,1
nrjs,1
offence,1
unpremediated,1
esui,1
attacks,1
land,12
sen,1
p/oduotion,1
gold,6
russia,5
trivial,1
soldier,4
halifax,6
output,2
great-frequently,1
deserters,1
sound,1
srar,1
heard,3
dayan,1
increased,8
improvement,3
teehnl-usually,1
riddance,1
convpdes,1
arms,2
manoeuvred,1
appliances,1
production,3
pre-whoso,1
record,7
spoiled,1
forts,1
entrandb,1
cious,1
metal,2
total,7
evitable,1
black,5
sheep,3
harbor,1
warships,1
puds,1
charitable,1
organizations,1
connor,1
o'dea,1
connected,1
meut,2
college,4
knew,7
organization,3
dealing,4
experts,2
penmanship,1
met,3
scores,2
cases,3
attribute,2
success,5
business,11
fire,6
admit,2
proficiency,1
attained,2
respect,2
incandescent,1
lampe,1
stage,2
directors,4
governor,1
powell,1
referring,2
grave,2
irregularities,1
late,4
cashier,1
sum,2
aside,1
bank's,1
losses,5
unonrs,1
advance,1
lpntim,1
february,3
ene,1
hund.rd,1
exports,3
nindv.tivp,1
hour,3
dock,2
imports,2
fowilot)iu,1
domicile,1
lab,1
tiibbom,1
ier,2
coasting,1
tonnage,1
hix,1
lifetime,1
township,2
onslow,1
inland,3
quebec,7
m.r-touuage,1
railway,10
v)isnt,1
exposed,2
sold,4
alex-mileage,1
rndei,1
m*ka,1
undersigned,2
notary,1
foi,2
passengers,1
carried,7
residing,1
ofshaw-per,1
freight,3
rallie,1
wile,1
aaid,2
proceeding,1
percent,2
circulation,1
grown,4
inventory,1
elwa-d,1
jk.*r,1
gibbons,1
moveables,1
moveable,1
ettbets,1
wto,1
k-jk,1
cards,1
passing,1
mails,1
in-trade,1
goods,6
merchandises,1
anl,1
imtnoveahh,1
augmented,2
landed,3
properties,1
enten,1
i:i\.-nt.Â»ry,1
duly,1
Ã©ÃªÃª,1
senee,1
alwnre,1
interested,4
dulv,1
foreman,1
roches,1
ter,4
gas,7
electric,2
light,2
headquarters,1
thursday,4
received,7
v-eu,1
incorpore,1
volte,1
electricity,1
usa::i,1
bigger,1
acres,9
selling,1
space,1
employees,3
thpt,1
town,14
merchandise,2
goes,3
sells,1
groceries,1
dry,1
bicycles,1
furniture,3
housefurnishings,1
easier,1
isn't,1
buy,4
biggest,1
markets,2
sell,2
closest,1
margins,1
aggregating,1
small,7
villages,2
appreciate,2
beat,2
tier,1
wneu,1
sucx-ee,1
ied,1
reachinv,1
thp,1
n*:crh,1
breeders,2
ocean,4
reach,4
erotio,1
erratic,1
gen,1
finished,2
began,6
eluding,1
outer,1
cell,1
bourhood,1
hum,1
reemit,1
true,5
fifteen,3
cents,2
dozen,2
barred,1
occasion,2
uors,1
securely,1
padlocking,1
littledale,1
aband,1
causallanlic,1
energy,3
undertook,1
seldom,2
occurrence,1
advice,3
poe,1
bal,1
remov,1
marcft,1
clock,2
fore,2
dilemma,1
ditifi,1
nations,8
cult,1
ambitious,2
self,2
respecting,1
value,4
eff,1
nation,3
call,10
halt,1
lead,3
responsibilities,2
yield,1
standing,3
hewer,1
plenitude,1
comfort,1
uneasy,1
lies,2
drawer,1
rest,3
wears,1
crown,1
elegiblo,1
ploy,1
appear,1
quite,4
absurd,1
helped,4
ordained,1
order,10
irrational,1
things,6
kingdoms,2
civilized,1
cultivated,1
gods,1
consent,1
plough,1
dig,2
alike,1
force,7
dirty,1
exchange,1
begun,1
arm,1
victory,3
practice,2
truth,1
industry,4
frugality,1
ufaciuring,1
naturally,1
avail,2
ire,4
participated,1
quack,1
nostrums,1
cone,1
early,7
manufacturing,3
ear,5
league,1
enemies,1
eer,1
woollens,1
justification,1
fear,1
shadow,2
cottons,1
simi,1
quake,1
multiplied,1
responsibility,1
lar,1
advent,1
seek,1
national,9
policy,3
yorkshire,1
sooh,1
manchester,1
feeble,1
hearted,1
guider,1
tonto,1
sept,2
louder,2
moaned,1
cattle,2
replies,1
voice,1
fine,5
earthly,1
euotsniptibie,1
hypocrisy,1
cnim,1
therefrom,1
japan:usa,4
govern,1
tains,2
teas,2
cadogan,1
salute,1
lit,1
klondyke,1
annex,1
guarantees,1
battery,1
artillery,2
station-will,1
constructed,3
entirely,5
rights,2
phoenix,1
territory,4
case,3
tone,1
staff,2
length,2
friendly,1
ibe,1
lieutenant,1
joined,1
prothond,1
dollar,3
tuesday,3
fought,1
bia,1
guard,3
honor,2
waa,2
furnished,3
spain:usa,3
behalf,2
peace,2
laid,5
ameri,1
cabinet,3
therer,1
upim,1
full,2
diacion,1
czar,1
rias,1
count,3
muravieff,1
imported,3
orth,1
oisif,1
grieves,4
covered,10
bait,1
landscape,1
gardeners,1
ceased,1
flow,2
taw,1
died,3
sight,2
hospital,5
lockjvw,1
shoit,1
cleft,1
illness,1
buggy,3
yards,1
week,16
originally,1
comp,1
misstep,1
struck,2
miracle,1
leg,2
juat,1
knee,1
today,14
steel,1
step,3
considerable,3
cut,5
inflicted,1
desperate,1
poor,4
caused,3
change,3
thinking,1
face,5
trunk,2
rested,1
basswood,1
tree,1
painful,1
wheel,1
are'the,1
remains,3
pedalled,1
basin,1
stone,3
steps,1
complained,2
feeling,1
soreness,1
founder,2
decided,6
symp,1
relics,1
ptoma,1
lockjaw,2
enjoy,3
ssible,1
comfortable,1
entrance,1
causa,1
sense,2
loss,2
steal,1
hearts,3
place,14
dirt,2
entering,3
gone,7
loved,1
ax-the,1
sociations,1
citizen,1
blue,1
canvas,1
apricot,1
silk,1
emperor,1
bodice,1
trimmed,1
extension,1
flowers,4
iv/s,1
kuniah,1
bagdad,1
abqut,1
tower,2
chimed,1
half-past,1
sas-it,1
sora,1
persian,1
gulf,1
slight,1
assistance,3
indian,5
pet,2
attendant,1
carriage,1
enterprising,1
monarch,1
accompanied,2
move,2
un-fiatienberg,1
dowager,1
dertakes,1
southampton,1
attendance,1
entente,1
cordiale,1
lately,1
sealed,1
hen,2
spain,3
jterfeoily,1
capsule,1
hostilities,1
maine,1
operated,2
regular,5
officers,4
crew,1
expense,2
month,7
sick,7
soldiers,9
usa:germany,2
literally,2
straw,2
making,9
blankets,1
panniers,1
boxes,2
kni,1
knacks,1
hats,1
bonnet,1
schools,1
hern,1
founded,3
taught,5
varieties,2
honored,1
owning,1
lawson,1
wh.had,1
nicely,1
rounded,1
oratorical,1
lints,1
by-mm,1
monday,5
btxere,1
style,1
cession,1
members,8
usa::in,2
temiscamingue,1
nipiesing,1
algoma,2
districts,2
contiguous,1
fighting,3
boy,4
anxious,1
adjacent,1
georgian,1
bay,5
route,4
mure,1
splendid,2
effect,3
rebels,1
cape,2
colony,2
cultural,1
lands,3
valley,2
contains,1
superficial,1
area,12
boer,1
papers,3
combined,1
picture,4
immeasurably,1
superior,3
thorn,4
hero,2
sent,8
ness,2
variety,2
resousces,1
elections,2
oyer,1
proportion,2
tyrwhitt,1
health,8
cultivable,1
fertile,2
excellently,1
second,4
contingent,1
watered,1
